day,home team,away team
33,Indiana Pacers,Atlanta Hawks
33,Orlando Magic,Los Angeles Lakers
33,New Orleans Pelicans,Denver Nuggets
33,Boston Celtics,Utah Jazz
33,Chicago Bulls,Toronto Raptors
33,Houston Rockets,Sacramento Kings
33,Dallas Mavericks,Golden State Warriors
33,Phoenix Suns,Oklahoma City Thunder
34,Minnesota Timberwolves,Memphis Grizzlies
34,Miami Heat,Los Angeles Lakers
34,Orlando Magic,New York Knicks
34,Washington Wizards,Portland Trail Blazers
34,San Antonio Spurs,Golden State Warriors
35,Charlotte Hornets,Boston Celtics
35,Detroit Pistons,Cleveland Cavaliers
35,Indiana Pacers,Utah Jazz
35,Philadelphia 76ers,Phoenix Suns
35,Atlanta Hawks,LA Clippers
35,Memphis Grizzlies,Dallas Mavericks
35,Milwaukee Bucks,Denver Nuggets
35,New Orleans Pelicans,San Antonio Spurs
35,Sacramento Kings,Oklahoma City Thunder
36,Orlando Magic,Toronto Raptors
36,Washington Wizards,LA Clippers
36,Miami Heat,Brooklyn Nets
36,New York Knicks,Portland Trail Blazers
37,Charlotte Hornets,Indiana Pacers
37,Philadelphia 76ers,New Orleans Pelicans
37,Atlanta Hawks,Toronto Raptors
37,Boston Celtics,New York Knicks
37,Cleveland Cavaliers,Los Angeles Lakers
37,Chicago Bulls,Phoenix Suns
37,Houston Rockets,Detroit Pistons
37,Milwaukee Bucks,Portland Trail Blazers
37,Minnesota Timberwolves,Denver Nuggets
37,Dallas Mavericks,Brooklyn Nets
37,San Antonio Spurs,Memphis Grizzlies
37,Utah Jazz,Sacramento Kings
37,Golden State Warriors,Oklahoma City Thunder
39,Brooklyn Nets,Minnesota Timberwolves
39,LA Clippers,Memphis Grizzlies
39,Detroit Pistons,Houston Rockets
39,Atlanta Hawks,Boston Celtics
39,New York Knicks,New Orleans Pelicans
39,Philadelphia 76ers,Cleveland Cavaliers
39,Toronto Raptors,Washington Wizards
39,Indiana Pacers,San Antonio Spurs
39,Chicago Bulls,Miami Heat
39,Oklahoma City Thunder,Charlotte Hornets
39,Milwaukee Bucks,Phoenix Suns
39,Denver Nuggets,Orlando Magic
39,Golden State Warriors,Portland Trail Blazers
39,Los Angeles Lakers,Utah Jazz
40,Cleveland Cavaliers,Houston Rockets
40,Washington Wizards,New Orleans Pelicans
40,Minnesota Timberwolves,Chicago Bulls
40,Oklahoma City Thunder,Denver Nuggets
40,Dallas Mavericks,Boston Celtics
40,Milwaukee Bucks,San Antonio Spurs
40,Golden State Warriors,Sacramento Kings
41,Los Angeles Lakers,Orlando Magic
41,Detroit Pistons,Phoenix Suns
41,Atlanta Hawks,Charlotte Hornets
41,Brooklyn Nets,Philadelphia 76ers
41,Toronto Raptors,Miami Heat
41,Memphis Grizzlies,New York Knicks
41,Sacramento Kings,Utah Jazz
41,Portland Trail Blazers,LA Clippers
42,Charlotte Hornets,Milwaukee Bucks
42,Cleveland Cavaliers,Minnesota Timberwolves
42,Washington Wizards,Houston Rockets
42,Chicago Bulls,San Antonio Spurs
42,New Orleans Pelicans,Boston Celtics
42,Utah Jazz,Indiana Pacers
