day,home team,away team
52,Portland Trail Blazers,Phoenix Suns
52,Boston Celtics,New York Knicks
52,Utah Jazz,Houston Rockets
53,Brooklyn Nets,Toronto Raptors
53,San Antonio Spurs,Los Angeles Lakers
53,New Orleans Pelicans,Memphis Grizzlies
53,Cleveland Cavaliers,Sacramento Kings
53,Charlotte Hornets,Denver Nuggets
53,Chicago Bulls,Oklahoma City Thunder
53,Orlando Magic,Indiana Pacers
53,Phoenix Suns,Miami Heat
53,Milwaukee Bucks,Golden State Warriors
53,Philadelphia 76ers,Detroit Pistons
54,Portland Trail Blazers,Minnesota Timberwolves
54,LA Clippers,Miami Heat
54,New York Knicks,Brooklyn Nets
54,Memphis Grizzlies,Los Angeles Lakers
54,Cleveland Cavaliers,Washington Wizards
54,Dallas Mavericks,Houston Rockets
54,Atlanta Hawks,Denver Nuggets
54,Indiana Pacers,Sacramento Kings
54,Chicago Bulls,Boston Celtics
55,Toronto Raptors,Milwaukee Bucks
55,New York Knicks,Charlotte Hornets
55,Detroit Pistons,New Orleans Pelicans
55,San Antonio Spurs,Utah Jazz
56,Phoenix Suns,LA Clippers
56,Los Angeles Lakers,Miami Heat
56,Indiana Pacers,Washington Wizards
56,Dallas Mavericks,Orlando Magic
56,Boston Celtics,New Orleans Pelicans
56,Chicago Bulls,Sacramento Kings
56,Oklahoma City Thunder,Utah Jazz
56,Denver Nuggets,Memphis Grizzlies
56,Milwaukee Bucks,Cleveland Cavaliers
56,Golden State Warriors,Minnesota Timberwolves
56,Philadelphia 76ers,Detroit Pistons
57,LA Clippers,Toronto Raptors
57,Houston Rockets,Portland Trail Blazers
57,San Antonio Spurs,Phoenix Suns
58,Golden State Warriors,Toronto Raptors
58,Memphis Grizzlies,Portland Trail Blazers
58,Cleveland Cavaliers,New York Knicks
58,Washington Wizards,Boston Celtics
58,Dallas Mavericks,Atlanta Hawks
58,New Orleans Pelicans,Oklahoma City Thunder
58,Sacramento Kings,Minnesota Timberwolves
58,Charlotte Hornets,Detroit Pistons
58,Utah Jazz,Miami Heat
58,Indiana Pacers,Milwaukee Bucks
58,Philadelphia 76ers,Brooklyn Nets
59,San Antonio Spurs,LA Clippers
59,Houston Rockets,Los Angeles Lakers
59,Phoenix Suns,Dallas Mavericks
59,Orlando Magic,Chicago Bulls
60,Portland Trail Blazers,Toronto Raptors
60,Charlotte Hornets,New York Knicks
60,Brooklyn Nets,Washington Wizards
60,Boston Celtics,Atlanta Hawks
60,Sacramento Kings,Golden State Warriors
60,Denver Nuggets,Oklahoma City Thunder
60,Cleveland Cavaliers,Milwaukee Bucks
60,Memphis Grizzlies,Miami Heat
60,Philadelphia 76ers,Indiana Pacers
61,Oklahoma City Thunder,LA Clippers
61,Charlotte Hornets,Los Angeles Lakers
61,Orlando Magic,Utah Jazz
61,San Antonio Spurs,Chicago Bulls
61,Phoenix Suns,Minnesota Timberwolves
61,Detroit Pistons,Boston Celtics
61,Memphis Grizzlies,Houston Rockets
62,Denver Nuggets,Toronto Raptors
62,Indiana Pacers,New York Knicks
62,Washington Wizards,Los Angeles Lakers
62,Dallas Mavericks,Sacramento Kings
62,Brooklyn Nets,Atlanta Hawks
62,New Orleans Pelicans,Miami Heat
62,Cleveland Cavaliers,Philadelphia 76ers
63,LA Clippers,Portland Trail Blazers
63,New York Knicks,Phoenix Suns
63,Minnesota Timberwolves,Sacramento Kings
63,Houston Rockets,Utah Jazz
63,Oklahoma City Thunder,Chicago Bulls
63,Detroit Pistons,Milwaukee Bucks
63,Golden State Warriors,Memphis Grizzlies
63,San Antonio Spurs,Philadelphia 76ers
64,Brooklyn Nets,Los Angeles Lakers
64,Atlanta Hawks,Washington Wizards
64,Denver Nuggets,Dallas Mavericks
64,Indiana Pacers,Cleveland Cavaliers
65,Toronto Raptors,Indiana Pacers
65,Portland Trail Blazers,Memphis Grizzlies
65,Philadelphia 76ers,New York Knicks
65,Houston Rockets,Washington Wizards
65,Milwaukee Bucks,New Orleans Pelicans
65,Sacramento Kings,Oklahoma City Thunder
65,Charlotte Hornets,Cleveland Cavaliers
65,Golden State Warriors,Utah Jazz
65,Chicago Bulls,Brooklyn Nets
65,Orlando Magic,San Antonio Spurs
65,Boston Celtics,Phoenix Suns
65,Minnesota Timberwolves,Detroit Pistons
66,LA Clippers,Dallas Mavericks
66,Miami Heat,Houston Rockets
67,Toronto Raptors,Cleveland Cavaliers
67,Portland Trail Blazers,Utah Jazz
67,New York Knicks,Atlanta Hawks
67,Los Angeles Lakers,New Orleans Pelicans
67,Sacramento Kings,Memphis Grizzlies
67,Charlotte Hornets,Detroit Pistons
67,Chicago Bulls,Orlando Magic
67,Boston Celtics,Milwaukee Bucks
67,San Antonio Spurs,Minnesota Timberwolves
67,Brooklyn Nets,Indiana Pacers
68,Philadelphia 76ers,Toronto Raptors
68,LA Clippers,Denver Nuggets
68,Washington Wizards,Phoenix Suns
68,Golden State Warriors,Dallas Mavericks
68,Utah Jazz,Oklahoma City Thunder
68,Miami Heat,Milwaukee Bucks
68,Houston Rockets,San Antonio Spurs
69,Portland Trail Blazers,Dallas Mavericks
69,Golden State Warriors,LA Clippers
69,Los Angeles Lakers,Memphis Grizzlies
69,Indiana Pacers,Washington Wizards
69,Detroit Pistons,Atlanta Hawks
69,Sacramento Kings,New Orleans Pelicans
69,Boston Celtics,Charlotte Hornets
69,Chicago Bulls,Cleveland Cavaliers
69,Orlando Magic,Miami Heat
69,Brooklyn Nets,Phoenix Suns
69,Oklahoma City Thunder,Minnesota Timberwolves
71,Utah Jazz,Portland Trail Blazers
71,New York Knicks,Milwaukee Bucks
71,Golden State Warriors,Los Angeles Lakers
71,Boston Celtics,Philadelphia 76ers
71,Houston Rockets,Oklahoma City Thunder
72,Miami Heat,Toronto Raptors
72,LA Clippers,Sacramento Kings
72,Detroit Pistons,Washington Wizards
72,Dallas Mavericks,New Orleans Pelicans
72,Indiana Pacers,Atlanta Hawks
72,Brooklyn Nets,Charlotte Hornets
72,Chicago Bulls,Minnesota Timberwolves
72,San Antonio Spurs,Denver Nuggets
72,Orlando Magic,Phoenix Suns
72,Memphis Grizzlies,Cleveland Cavaliers
73,Golden State Warriors,Portland Trail Blazers
73,Milwaukee Bucks,New York Knicks
73,Sacramento Kings,Los Angeles Lakers
73,Utah Jazz,Philadelphia 76ers
73,Houston Rockets,Boston Celtics
74,Orlando Magic,Toronto Raptors
74,Los Angeles Lakers,LA Clippers
74,Washington Wizards,Chicago Bulls
74,New Orleans Pelicans,Dallas Mavericks
74,Minnesota Timberwolves,Atlanta Hawks
74,Brooklyn Nets,Charlotte Hornets
74,Denver Nuggets,San Antonio Spurs
74,Phoenix Suns,Oklahoma City Thunder
74,Miami Heat,Cleveland Cavaliers
